       1       0   10704    1.9717    2  179    2  187
    -2   -1.927    1.618      2.477  0.006    -0.97     4.97     2.21     3.59
     2   -0.259    0.062      0.806  0.006    -2.98     3.19    24.47    24.98
     2   -0.107    0.024      0.118  0.006    -4.25    -4.48     3.53     4.73
     1   -1.276    0.277      0.347  0.010    -4.22    -2.82     0.08     1.38
     2   -0.234   -0.705     -4.550  0.006    -4.06    -4.05    -7.57     7.90
    -1    1.250    1.584      0.590  0.010     2.94    -2.63     0.72     2.66
     3   -0.058   -0.109      0.370  0.199     1.63    -4.29     0.23     1.02
    -2    3.066   -0.869     -1.245  0.006    -0.03     1.20    -0.54     1.51
     1   -0.163   -0.033     -0.132  0.010    -0.31     1.60    -3.31     6.65
    -1   -0.450   -0.338      0.411  0.010    -1.92    -4.64     0.36     3.64
     1   -0.179    0.051      0.013  0.010    -2.60    -1.96    -0.78     2.88
    -1    0.271    0.297      0.374  0.010     5.23     1.62     0.26     0.66
     2    0.248    0.558      0.247  0.006     5.37     1.94     0.13     0.97
     2   -0.531   -0.366      0.207  0.006    -2.69     3.04    -0.43     2.33
    -3   -0.248   -0.084      0.162  0.199    -1.99     1.17     2.22     5.86
    -1   -0.239   -0.271     -0.134  0.010     0.61    -0.43    -3.00     5.53
     3    0.412    0.406      0.592  0.199     9.30     7.17    11.86    17.50
     3   -0.195   -0.128     -0.266  0.199    -2.93    -3.62    -2.15     2.86
    -1   -0.393   -0.309      0.089  0.010    -1.17    -5.92     1.43     3.48
    -1   -0.048   -0.203     -0.237  0.010    -3.49     0.88    -2.89     4.01
     2   -0.043    0.424      0.101  0.006    -4.96     2.23     1.48     2.78
    -1    0.655    0.285     -0.895  0.010     3.90    -1.08    -0.91     1.68
     1    2.105    1.483     -0.824  0.010     6.67     0.39    -1.37     4.50
     1    2.423   -0.408     -2.050  0.010     3.70     2.57    -0.21     0.34
    -2    0.503   -0.838     -0.733  0.006     4.21     1.84    -0.91     1.47
     1    0.439    0.386     -0.675  0.010     3.21    -2.36    -0.25     0.47
    -2    0.076   -0.063      0.319  0.006     4.29    -3.02    30.43    31.57
     2    0.277   -0.016     -0.156  0.006     1.87     2.91    -1.29     4.58
    -3    0.097   -0.653     -0.636  0.199    -0.04     1.19    -2.64     5.07
    -1    0.463   -0.135     -0.324  0.010     4.02     1.98     0.05     1.17
    -1    0.953   -0.109     -0.614  0.010     9.84    -0.44    -2.23     7.48
    -1    0.487    0.063      0.029  0.010     5.13     2.62     0.16     1.72
     2   -0.004    0.117      0.048  0.006     0.40     0.66     5.06     7.11
    -4    0.895    0.997     -1.075  1.350     2.51     3.88    -1.44     2.97
     1   -0.008    0.020     -0.068  0.010    -7.15    -1.18    -3.87     8.75
    -3    0.165    1.802      1.320  0.199    -1.66     1.31     2.07     5.50
     1   -0.362   -0.108      0.031  0.010    -7.14     0.49     0.69     8.86
     1   -0.263    0.061      0.099  0.010    -1.45    -1.93    -1.89     6.69
     2   -0.118   -0.920      0.302  0.006    -2.64    -4.59     0.22     1.49
    -1    0.248    0.332     -0.202  0.010     6.22     3.47    -2.47     4.02
     1    0.320   -0.021      0.657  0.010     3.35     1.13     3.42     5.44
    -1    0.045   -0.056      0.142  0.010    -1.41     0.94    12.63    15.41
     2    0.156   -0.411      0.297  0.006     1.68    -6.07     3.20     5.48
     2    0.467    1.082     -0.113  0.006    -2.15     2.86    -0.73     4.16
    -2   -0.342    0.387      0.072  0.006    -5.55     1.26     0.72     3.64
     2   -0.458    0.342     -0.005  0.006    -3.57    -3.47    -0.88     1.70
     1   -0.255   -0.541     -0.205  0.010    -3.86    -5.08    -2.59     5.12
     2    0.293   -0.284      0.264  0.006    -0.27    -3.09    -0.12     3.63
    -3   -0.039   -0.240     -0.294  0.199    -2.16    -3.33    -6.99     7.55
    -1    1.725    0.687     -0.465  0.010    -0.70    -2.24    -0.78     1.55
    -2    0.396    0.157     -0.444  0.006     0.44    -2.05    -1.64     3.15
     1   -0.047   -0.008      0.035  0.010    -5.31    -5.22     2.70     5.92
     2    0.011   -0.086      0.047  0.006    -0.40     0.95     5.00     8.81
     2    0.292   -0.647      0.419  0.006    -1.98    -4.65     0.34     3.64
    -1    0.507   -0.121     -1.028  0.010     0.88    -3.68    -8.96    10.93
     4   -1.509    0.747     -1.777  1.350    -3.70    -4.42    -0.29     0.54
     1   -0.559    0.473      0.222  0.010   -12.74     5.80     3.31    13.94
